neuron_ID,delay,MII_value,animal_ID,experiment_ID
0,1,0.013333333333333428,1.0,1.0
0,2,0.0,1.0,1.0
0,3,0.12698412698412687,1.0,1.0
0,4,0.11111111111111124,1.0,1.0
0,6,0.11111111111111101,1.0,1.0
0,7,0.8840579710144931,1.0,1.0
0,8,0.7111111111111109,1.0,1.0
0,10,0.40952380952380957,1.0,1.0
0,11,0.12068965517241372,1.0,1.0
1,1,-0.06603773584905687,1.0,1.0
1,2,0.06382978723404256,1.0,1.0
1,3,0.566666666666667,1.0,1.0
1,4,0.8666666666666671,1.0,1.0
1,5,-0.2162162162162163,1.0,1.0
1,6,0.1521739130434783,1.0,1.0
1,7,0.11111111111111101,1.0,1.0
1,8,0.5000000000000002,1.0,1.0
1,9,-0.13157894736842113,1.0,1.0
1,10,0.4374999999999999,1.0,1.0
1,11,0.10810810810810816,1.0,1.0
2,1,-0.523809523809524,1.0,1.0
2,2,0.0666666666666666,1.0,1.0
2,3,1.0000000000000004,1.0,1.0
2,4,-0.05555555555555566,1.0,1.0
2,5,0.3333333333333332,1.0,1.0
2,6,0.14285714285714313,1.0,1.0
2,7,0.6000000000000003,1.0,1.0
2,8,0.5,1.0,1.0
2,9,-0.3809523809523811,1.0,1.0
2,10,0.7500000000000002,1.0,1.0
2,11,0.11764705882352963,1.0,1.0
3,1,1.0000000000000004,1.0,1.0
3,2,2.4000000000000004,1.0,1.0
3,4,1.1249999999999996,1.0,1.0
3,5,0.24999999999999975,1.0,1.0
3,6,0.16666666666666682,1.0,1.0
3,7,0.11111111111111101,1.0,1.0
3,8,0.8750000000000001,1.0,1.0
3,9,0.33333333333333376,1.0,1.0
3,10,-0.08333333333333337,1.0,1.0
3,11,1.666666666666667,1.0,1.0
4,1,0.3749999999999998,1.0,1.0
4,2,0.8750000000000002,1.0,1.0
4,3,0.15625,1.0,1.0
4,4,0.4642857142857143,1.0,1.0
4,6,-0.18181818181818182,1.0,1.0
4,7,0.17647058823529413,1.0,1.0
4,8,0.058823529411764705,1.0,1.0
4,9,-0.26874999999999993,1.0,1.0
4,10,-0.16666666666666663,1.0,1.0
4,11,-0.11290322580645155,1.0,1.0
6,1,0.6666666666666665,1.0,1.0
6,2,0.46666666666666673,1.0,1.0
6,3,1.0000000000000007,1.0,1.0
6,4,0.8749999999999994,1.0,1.0
6,7,0.11111111111111101,1.0,1.0
6,8,0.7500000000000002,1.0,1.0
6,10,0.5,1.0,1.0
7,1,0.03333333333333321,1.0,1.0
7,2,1.4999999999999998,1.0,1.0
7,3,0.07692307692307707,1.0,1.0
7,4,0.9333333333333332,1.0,1.0
7,6,0.37037037037037046,1.0,1.0
7,8,0.9374999999999999,1.0,1.0
7,10,-0.054054054054054,1.0,1.0
7,11,0.8000000000000002,1.0,1.0
8,1,-0.1521739130434782,1.0,1.0
8,3,-0.5,1.0,1.0
8,4,0.375,1.0,1.0
8,7,1.666666666666667,1.0,1.0
8,10,0.0,1.0,1.0
9,1,0.16666666666666674,1.0,1.0
9,2,0.6666666666666665,1.0,1.0
9,3,0.1999999999999998,1.0,1.0
9,4,0.4285714285714284,1.0,1.0
9,5,0.7500000000000006,1.0,1.0
9,6,0.3571428571428572,1.0,1.0
9,7,0.23076923076923098,1.0,1.0
9,8,2.000000000000001,1.0,1.0
9,9,0.1818181818181815,1.0,1.0
9,10,-0.176470588235294,1.0,1.0
9,11,0.12499999999999988,1.0,1.0
10,1,4.500000000000001,1.0,1.0
10,2,0.6249999999999997,1.0,1.0
10,3,4.4,1.0,1.0
10,4,1.3076923076923075,1.0,1.0
10,5,0.3076923076923079,1.0,1.0
10,6,-0.13333333333333355,1.0,1.0
10,7,0.09999999999999998,1.0,1.0
10,8,-0.20000000000000015,1.0,1.0
10,9,0.16666666666666674,1.0,1.0
10,10,0.44444444444444436,1.0,1.0
10,11,-0.5999999999999999,1.0,1.0
11,1,0.4583333333333335,1.0,5.0
11,2,0.45000000000000007,1.0,5.0
11,3,0.1578947368421054,1.0,5.0
11,4,1.095238095238095,1.0,5.0
11,5,0.5555555555555554,1.0,5.0
11,6,0.12000000000000023,1.0,5.0
11,7,0.3636363636363631,1.0,5.0
11,8,0.5833333333333334,1.0,5.0
11,9,0.7692307692307694,1.0,5.0
11,10,0.4347826086956519,1.0,5.0
11,11,0.2800000000000003,1.0,5.0
12,2,1.2499999999999998,1.0,5.0
12,3,0.5,1.0,5.0
12,4,-0.11111111111111101,1.0,5.0
12,5,-0.16666666666666674,1.0,5.0
12,6,0.28571428571428564,1.0,5.0
12,7,0.22222222222222218,1.0,5.0
12,8,0.3333333333333335,1.0,5.0
12,9,0.0,1.0,5.0
12,10,0.6666666666666665,1.0,5.0
12,11,-0.22222222222222218,1.0,5.0
13,1,0.8076923076923075,1.0,5.0
13,2,0.23076923076923098,1.0,5.0
13,3,2.4285714285714284,1.0,5.0
13,4,-0.17647058823529402,1.0,5.0
13,5,0.39999999999999997,1.0,5.0
13,6,0.9473684210526315,1.0,5.0
13,7,0.5555555555555557,1.0,5.0
13,8,0.8749999999999994,1.0,5.0
13,9,0.9333333333333336,1.0,5.0
13,10,1.8235294117647063,1.0,5.0
13,11,1.0,1.0,5.0
14,1,0.02083333333333348,2.0,7.0
14,2,-0.3692307692307692,2.0,7.0
14,3,-0.09859154929577446,2.0,7.0
14,4,-0.4583333333333333,2.0,7.0
14,5,-0.01639344262295094,2.0,7.0
14,6,-0.18181818181818182,2.0,7.0
14,7,0.16216216216216214,2.0,7.0
14,8,-0.36206896551724144,2.0,7.0
14,9,-0.423728813559322,2.0,7.0
14,10,0.1578947368421054,2.0,7.0
14,11,-0.2888888888888889,2.0,7.0
15,1,-0.23999999999999982,2.0,7.0
15,2,-0.3599999999999998,2.0,7.0
15,3,-0.3043478260869565,2.0,7.0
15,4,-0.13636363636363624,2.0,7.0
15,5,-0.09523809523809504,2.0,7.0
15,6,0.23076923076923098,2.0,7.0
15,7,1.4999999999999998,2.0,7.0
15,8,0.11764705882352963,2.0,7.0
15,9,-0.39999999999999997,2.0,7.0
15,10,0.05555555555555566,2.0,7.0
15,11,0.3636363636363637,2.0,7.0
16,1,0.5833333333333335,2.0,7.0
16,2,0.06249999999999994,2.0,7.0
16,3,0.4000000000000002,2.0,7.0
16,4,-0.13043478260869576,2.0,7.0
16,5,1.5673736818237505e-16,2.0,7.0
16,6,-0.15999999999999978,2.0,7.0
16,7,0.6923076923076924,2.0,7.0
16,8,0.4117647058823531,2.0,7.0
16,9,0.22222222222222246,2.0,7.0
16,10,0.21052631578947348,2.0,7.0
