pref_delay,reliability,animal_ID,experiment_ID,selectivity,modulation_index
3,0.08557723916875987,1.0,1.0,0.9090909090909091,0.19161211089705563
1,0.06759832461341836,1.0,1.0,0.9090909090909091,0.25562733137113386
1,0.06980127012950417,1.0,1.0,0.7272727272727273,0.37833836685457717
1,0.11080700932826819,1.0,1.0,0.7272727272727273,0.35361006790617533
3,0.08559662804899541,1.0,1.0,0.9090909090909091,0.23732291468755118
3,0.052185719634831464,1.0,1.0,0.9090909090909091,0.25859645265004993
10,0.08207941277276341,1.0,1.0,0.9090909090909091,0.2556294386427092
7,0.06459926506683475,1.0,1.0,0.8181818181818181,0.25438698268870136
1,0.08624655195726652,1.0,1.0,0.8181818181818181,0.4426590365720117
5,0.06807247345163711,1.0,1.0,0.9090909090909091,0.2567909716074068
3,0.10798140511898101,1.0,1.0,0.9090909090909091,0.6773165935633153
3,0.25746277145334806,1.0,5.0,0.6363636363636364,0.29597245033953357
8,0.11477808273812966,1.0,5.0,0.6363636363636364,0.42658264938635126
2,0.12926764373536068,1.0,5.0,0.6363636363636364,0.370817734697434
2,0.11701443789516612,2.0,7.0,0.9090909090909091,0.39847734572697696
6,0.09501666523296125,2.0,7.0,0.9090909090909091,0.3027092107637207
5,0.09073269589040567,2.0,7.0,0.9090909090909091,0.3346924887329747
8,0.12099490421568906,2.0,7.0,0.9090909090909091,0.3968623285653883
8,0.3201638146286211,2.0,7.0,0.9090909090909091,0.2915751948892876
6,0.08076332188079693,2.0,8.0,0.7272727272727273,0.24280898869198256
2,0.14203376032118725,2.0,8.0,0.9090909090909091,0.567835117789847
3,0.05347004241238718,2.0,8.0,0.9090909090909091,0.16629512677380298
9,0.07433185881460473,2.0,9.0,0.9090909090909091,0.2392889674255155
8,0.08136842329313984,3.0,10.0,0.9090909090909091,0.23790666202737795
5,0.10624196584542485,3.0,10.0,0.9090909090909091,0.20660319274694283
5,0.11094226388826571,3.0,10.0,0.8181818181818181,0.2009330499103307
1,0.1620313460808659,3.0,10.0,0.9090909090909091,0.4784754043203899
5,0.2299479077062175,3.0,10.0,0.9090909090909091,0.5445078412916509
2,0.05212781137356882,3.0,10.0,0.7272727272727273,0.19384800829468324
1,0.07698086049545194,3.0,10.0,0.9090909090909091,0.18854209804677105
7,0.05466707921860239,3.0,10.0,0.7272727272727273,0.15171854269738444
6,0.06196167599778838,3.0,11.0,0.9090909090909091,0.19824650793044704
7,0.09127889822021373,3.0,11.0,0.9090909090909091,0.44460418792349493
2,0.08762710116543768,3.0,11.0,0.6363636363636364,0.40831387501493843
2,0.08666277054396733,3.0,11.0,0.9090909090909091,0.33512260659564513
4,0.2956556733133501,3.0,11.0,0.8181818181818181,0.21779517182194796
