neuron_ID,delay,MII_value,animal_ID,experiment_ID
0,1,-0.20370370370370378,19.0,84.0
0,2,0.21621621621621626,19.0,84.0
0,3,-0.3278688524590163,19.0,84.0
0,4,0.0,19.0,84.0
0,5,0.020833333333333214,19.0,84.0
0,6,-0.018867924528301782,19.0,84.0
0,7,-0.044444444444444384,19.0,84.0
0,8,0.0,19.0,84.0
1,1,-0.2394366197183098,19.0,84.0
1,2,0.09374999999999986,19.0,84.0
1,3,0.11475409836065578,19.0,84.0
1,4,0.4090909090909094,19.0,84.0
1,5,-0.14285714285714268,19.0,84.0
1,6,0.3043478260869569,19.0,84.0
1,7,0.06666666666666686,19.0,84.0
1,8,0.0,19.0,84.0
2,1,-0.23611111111111108,19.0,84.0
2,2,0.05454545454545439,19.0,84.0
2,3,0.26000000000000006,19.0,84.0
2,4,-0.11111111111111116,19.0,84.0
2,5,-0.08823529411764706,19.0,84.0
2,6,-0.24637681159420277,19.0,84.0
2,7,-0.044117647058823775,19.0,84.0
2,8,0.0,19.0,84.0
3,1,0.08196721311475405,19.0,84.0
3,4,1.06896551724138,19.0,84.0
3,5,0.7954545454545459,19.0,84.0
3,6,0.03448275862068975,19.0,84.0
3,7,-0.3801169590643275,19.0,84.0
3,8,0.0,19.0,84.0
4,1,-0.1956521739130434,19.0,84.0
4,2,1.0806451612903223,19.0,84.0
4,3,-0.10294117647058816,19.0,84.0
4,4,0.14285714285714285,19.0,84.0
4,5,0.6666666666666667,19.0,84.0
4,6,0.19047619047619066,19.0,84.0
4,7,0.3157894736842105,19.0,84.0
4,8,0.0,19.0,84.0
5,1,0.7999999999999998,19.0,84.0
5,2,-0.5454545454545455,19.0,84.0
5,3,-0.17647058823529413,19.0,84.0
5,4,2.5,19.0,84.0
5,5,4.25,19.0,84.0
5,6,-0.5,19.0,84.0
5,8,0.0,19.0,84.0
6,1,0.5384615384615384,19.0,85.0
6,2,0.642857142857143,19.0,85.0
6,3,-0.2,19.0,85.0
6,4,0.5294117647058824,19.0,85.0
6,5,0.1176470588235295,19.0,85.0
6,6,0.44444444444444453,19.0,85.0
6,7,0.9166666666666664,19.0,85.0
6,8,0.0,19.0,85.0
7,1,0.06542056074766366,19.0,85.0
7,2,-0.016949152542372926,19.0,85.0
7,3,0.13265306122448975,19.0,85.0
7,4,0.1067961165048546,19.0,85.0
7,5,0.0744680851063831,19.0,85.0
7,6,0.11214953271028054,19.0,85.0
7,7,0.1770833333333334,19.0,85.0
7,8,0.0,19.0,85.0
8,1,0.9285714285714289,19.0,85.0
8,2,0.4117647058823528,19.0,85.0
8,3,0.4117647058823528,19.0,85.0
8,4,0.4117647058823528,19.0,85.0
8,5,1.2727272727272727,19.0,85.0
8,6,0.44444444444444453,19.0,85.0
8,7,0.2941176470588233,19.0,85.0
8,8,0.0,19.0,85.0
9,1,0.2105263157894737,19.0,85.0
9,2,0.4545454545454547,19.0,85.0
9,3,0.4666666666666668,19.0,85.0
9,4,0.49999999999999994,19.0,85.0
9,5,0.3529411764705882,19.0,85.0
9,6,0.8666666666666668,19.0,85.0
9,7,0.5000000000000002,19.0,85.0
9,8,0.0,19.0,85.0
10,1,-0.12345679012345682,19.0,85.0
10,2,0.055555555555555594,19.0,85.0
10,3,-0.22093023255813957,19.0,85.0
10,4,0.2786885245901637,19.0,85.0
10,5,0.44000000000000006,19.0,85.0
10,6,-0.1645569620253167,19.0,85.0
10,7,0.22641509433962265,19.0,85.0
10,8,0.0,19.0,85.0
11,1,0.3571428571428574,19.0,85.0
11,2,0.22857142857142876,19.0,85.0
11,3,0.06521739130434763,19.0,85.0
11,4,0.47368421052631565,19.0,85.0
11,5,0.23255813953488358,19.0,85.0
11,6,0.0909090909090907,19.0,85.0
11,7,0.4,19.0,85.0
11,8,0.0,19.0,85.0
12,1,0.3409090909090912,19.0,85.0
12,2,-0.2328767123287671,19.0,85.0
12,3,0.18000000000000002,19.0,85.0
12,4,0.16326530612244908,19.0,85.0
12,5,0.09836065573770492,19.0,85.0
12,6,0.06896551724137921,19.0,85.0
12,7,0.454545454545455,19.0,85.0
12,8,0.0,19.0,85.0
13,1,0.375,19.0,86.0
13,2,-0.25531914893617025,19.0,86.0
13,3,0.0,19.0,86.0
13,4,-0.06666666666666658,19.0,86.0
13,5,0.25000000000000006,19.0,86.0
13,6,0.16000000000000011,19.0,86.0
13,7,0.12499999999999994,19.0,86.0
13,8,0.0,19.0,86.0
14,1,2.333333333333334,19.0,86.0
14,2,0.23076923076923075,19.0,86.0
14,3,0.2592592592592592,19.0,86.0
14,4,0.5555555555555555,19.0,86.0
