mean_connectivity,ML,AP,n_neurons
3.009259259259259,588.7428373344136,8754.142,71
0.7476635514018692,1241.3208408007154,8949.864,58
6.666666666666667,408.9326675142891,9158.449,9
2.1587743732590527,667.0636801535078,8778.195,65
0.9852216748768473,825.4708361881105,8672.57,56
2.0242914979757085,907.456915200962,9241.365,50
1.0570824524312896,1475.032227338549,9042.324,41
5.063291139240507,580.514798996391,8992.309,41
0.0,1072.034132130402,8509.529,25
3.43980343980344,834.5574151921245,9128.816,83
1.1904761904761905,776.4543039052419,8928.521,24
0.6122448979591837,1346.04237789939,8882.96,43
1.1235955056179776,755.7623140071191,9266.467,34
2.5974025974025974,785.0400881011318,8717.025,49
3.932584269662921,898.5497619861796,8972.3955,52
1.9073569482288828,1006.9893412545233,9552.7295,72
4.098360655737705,549.5076243436118,9126.119,32
1.9444444444444444,1387.6365350416916,9138.219,60
2.5210084033613445,945.064040231111,8762.339,35
3.177570093457944,948.8441570772532,9195.004,66
4.646017699115045,695.6039876492323,9072.866,34
1.3888888888888888,815.1671589491301,9264.216,36
2.7027027027027026,824.6363152683758,8676.439,70
3.6458333333333335,1092.9834490865337,9162.202,56
2.356020942408377,984.0875124576249,9415.275,80
1.0822510822510822,792.9574433906827,8645.2705,52
2.7797576621525306,943.0592790205189,9602.747,79
1.8867924528301887,1359.5060177405987,9194.388,58
10.666666666666668,648.4771957491733,9376.363,51
2.58349086326402,1016.2442058787121,9010.302,85
3.3881897386253628,846.8124432580383,8476.561,83
1.9230769230769231,972.8305798532863,9238.77,75
2.734375,866.8476100356303,9525.0,44
1.4218009478672986,984.3170523785567,8672.756,43
1.5051740357478833,1210.2039682539494,8934.945,109
2.0166073546856467,1413.533935748776,9235.65,88
5.663082437275985,411.4808173106677,8922.565,66
0.6153846153846154,941.7954287764643,9197.051,26
1.1695906432748537,773.4068979814394,8950.0,35
1.5065913370998116,1337.8735760591405,8666.482,62
1.3888888888888888,624.4652100610713,8674.458,41
0.5966587112171837,911.272610188802,8882.731,54
0.156128024980484,935.6302162704318,9011.27,72
2.7181688125894135,1057.0101220036731,8611.729,74
1.0118406889128093,1282.244527658596,9110.35,128
1.0344827586206897,1426.9841018031225,9402.362,70
4.521963824289406,563.9273667856485,8897.832,53
0.8342022940563086,1297.7979326710888,9616.1,62
4.918032786885246,,,61
1.725067385444744,,,72
0.5671077504725899,,,76
2.853745541022592,,,77
0.38138825324180015,,,66
1.6602809706257982,,,75
1.6216216216216217,,,53
1.6348773841961852,,,46
1.9002375296912115,,,69
0.36674816625916873,,,111
1.6551724137931034,,,63
2.5056947608200453,,,76
1.384083044982699,,,47
2.096069868995633,,,76
1.3095238095238095,,,61
1.4388489208633095,,,74
3.1914893617021276,715.4014974148572,8330.011,18
0.2918287937743191,1183.4608828657892,9139.123,74
1.4705882352941175,847.2053832143682,9298.81,60
2.9292929292929295,292.7053691979456,9594.437,49
2.0588235294117645,555.532470983262,9711.53,32
5.118110236220472,489.6817730973285,9695.956,28
0.43103448275862066,1581.9826695119204,9299.478,60
2.083333333333333,401.4081952866245,9040.509,27
1.3924050632911391,1200.3492248513296,9493.891,85
1.3647642679900744,1027.119965849541,8510.497,86
1.2987012987012987,1483.663129792542,9496.77,56
1.885369532428356,893.5942567345876,9259.029,75
1.338432122370937,1245.2251938518837,9631.923,43
5.076923076923077,923.2846178033121,8504.476,79
1.639344262295082,953.1360717287762,8875.329,41
4.017857142857143,498.66068006163755,9007.688,43
3.3738191632928474,846.2903560415821,9368.061,54
2.769230769230769,732.068465405889,8352.369,32
2.385321100917431,461.8411200021734,8782.238,50
1.8315018315018317,884.9892986528865,9457.202,30
3.0303030303030303,165.67760247242308,8475.111,18
1.805869074492099,1369.5151296196073,9125.0,67
0.0,703.3121000934286,9283.393,12
3.45252774352651,1172.5121968101043,9784.761,67
2.380952380952381,453.337952285203,8759.971,45
3.260869565217391,1514.8178144419119,8921.339,51
0.5376344086021506,396.10876962103936,8767.424,22
4.444444444444445,1079.4113292862023,9278.661,17
